product_id,product_name,total_products,reason
104,"Rugby Plus",3,"Wrong item shipped"
196,"TRebel BassHeads 100",1,"Battery issue"
280,"Airdopes 383 Sunburn Edition",1,"Damaged in transit"
350,"TRebel Xtend?",2,"Defective product"
200,"TRebel BassHeads 102",2,"Defective product"
45,"Airdopes 131 Iron Man Marvel Edition",1,"Wrong item shipped"
318,"Rugged V3 Micro USB 1.5 Meter",1,"Battery issue"
378,"TRebel Airdopes 441 Pro",2,"Screen issues"
100,"Stone 650",1,"Bluetooth not working"
257,"Rockerz 370",1,"Battery issue"
149,"Deuce 330",2,"Poor quality"
361,"TRebel Airdopes 381",2,"Battery issue"
315,"Micro USB 150 1.5 Meter",1,"Wrong item shipped"
96,"Stone 1000v2",2,"Damaged in transit"
188,"Watch Storm - Iron Man Marvel Edition",1,"Inaccurate step counter"
56,"Rockerz 255R",2,"Poor quality"
370,"TRebel Matrix",2,"Wrong item shipped"
293,"Rockerz 450 - Iron Man Marvel Edition",1,"Wrong item shipped"
234,"Airdopes 381",1,"Inaccurate step counter"
249,"Rockerz 550",1,"Poor quality"
299,"Bassheads 172 KKR Edition",1,"Screen issues"
91,"Stone 1200F",1,"Screen issues"
277,"Rockerz 255 ARC",6,"Battery issue"
317,"Type C C400",1,"Damaged in transit"
117,"Airdopes 131 Captain America Marvel Edition",1,"Wrong item shipped"
120,"BassHeads 152 Sunburn Edition",2,"Poor quality"
178,Matrix,1,"Screen issues"
67,"Rockerz 255F",4,"Defective product"
201,"TRebel Airdopes 171 - Wireless Earbuds with 6mm Drivers, 380mAh Charging cum Carrying Case, IPX4 Sweat and Water Resistance, 13H nonstop Music",2,"Defective product"
93,"Stone 180",1,"Bluetooth not working"
19,"Airdopes 131",1,"Screen issues"
198,"TRebel BassHeads 103",1,"Poor quality"
97,"Stone Grenade",1,"Defective product"
82,"Rockerz 425",1,"Wrong item shipped"
343,"Xtend Talk",1,"Damaged in transit"
42,"Airdopes 441 Pro",1,"Damaged in transit"
36,"TRebel Airdopes 402",1,"Defective product"
317,"Type C C400",2,"Defective product"
310,"Misfit T200",1,"Bluetooth not working"
257,"Rockerz 370",1,"Bluetooth not working"
238,"Airdopes 181",1,"Wrong item shipped"
240,"Airdopes 601 ANC",1,"Screen issues"
337,Storm,1,"Inaccurate step counter"
51,"Rockerz 255",1,"Defective product"
357,"Wave Voice",2,"Defective product"
326,"Dual QC-PD Port Rapid Car Charger With Power Delivery Cable",1,"Damaged in transit"
373,"TRebel Airdopes 181",1,"Wrong item shipped"
371,"TRebel Rockerz 330 Pro",2,"Damaged in transit"
53,"Rockerz 255 Pro",1,"Damaged in transit"
80,"Nirvanaa 751 ANC",2,"Bluetooth not working"
6,"BassHeads 100",1,"Battery issue"
164,"Wave Select",5,"Poor quality"
282,"Airdopes 131 Iron Man Marvel Edition",1,"Defective product"
322,"Energyshroom PB10",1,"Inaccurate step counter"
272,"Rockerz 375",1,"Defective product"
255,"Rockerz 335",1,"Poor quality"
168,"Wave Connect",1,"Defective product"
161,"Micro USB 100 1 Meter",1,"Inaccurate step counter"
331,"Wave Neo",2,"Wrong item shipped"
88,"Stone 190",1,"Battery issue"
315,"Micro USB 150 1.5 Meter",3,"Defective product"
91,"Stone 1200F",1,"Bluetooth not working"
251,"Rockerz 103 Pro",1,"Wrong item shipped"
90,"Stone 650",2,"Wrong item shipped"
157,"LTG 500 Indestructible Apple Certified Lightning Cable 1 Meter",1,"Bluetooth not working"
148,Mask,1,"Bluetooth not working"
48,"Rockerz 245 V2",3,"Bluetooth not working"
12,"BassHeads 104",1,"Inaccurate step counter"
166,"Wave Beat",5,"Wrong item shipped"
355,"Watch Storm - Captain America Marvel Edition",1,"Inaccurate step counter"
2,"BassHeads 242",1,"Inaccurate step counter"
293,"Rockerz 450 - Iron Man Marvel Edition",2,"Inaccurate step counter"
236,"Airdopes 138",1,"Poor quality"
352,"Watch Storm - Iron Man Marvel Edition",2,"Defective product"
360,"TRebel Rockerz 333",1,"Inaccurate step counter"
240,"Airdopes 601 ANC",1,"Wrong item shipped"
234,"Airdopes 381",1,"Battery issue"
244,"Rockerz 255 Pro+",1,"Wrong item shipped"
22,"Airdopes 121 PRO",2,"Screen issues"
280,"Airdopes 383 Sunburn Edition",1,"Inaccurate step counter"
275,"Rockerz 450R",1,"Inaccurate step counter"
229,"Airdopes 402",1,"Poor quality"
297,"Airdopes 441 - Masaba Edition",2,"Wrong item shipped"
154,"Rugged V3 Micro USB 1.5 Meter",2,"Wrong item shipped"
197,"TRebel Rockerz 450",1,"Inaccurate step counter"
158,"Energyshroom PB10",1,"Poor quality"
174,"Wave Style",1,"Bluetooth not working"
145,"Misfit T200 3-in-1 Grooming Kit for Men",3,"Battery issue"
320,"Micro USB 500 Cable 1.5 Meter",1,"Battery issue"
257,"Rockerz 370",1,"Screen issues"
230,"Airdopes 115",1,"Battery issue"
58,"Rockerz 260",2,"Inaccurate step counter"
146,"Misfit T200",2,"Damaged in transit"
228,"Airdopes 121 v2",2,"Wrong item shipped"
139,"Rockerz 450 Batman DC Edition",1,"Damaged in transit"
47,"Rockerz 255 Pro+",1,"Wrong item shipped"
131,"Rockerz 550 Sunburn Edition",2,"Poor quality"
246,"Rockerz 330",2,"Wrong item shipped"
78,"Rockerz 375",3,"Wrong item shipped"
122,"Watch Storm - Captain America Marvel Edition",2,"Bluetooth not working"
211,"BassHeads 242",1,"Bluetooth not working"
26,"Airdopes 115",1,"Defective product"
206,"TRebel Airdopes 131",3,"Screen issues"
12,"BassHeads 104",1,"Damaged in transit"
363,"TRebel BassHeads 100",1,"Battery issue"
115,"Rockerz 558 Sunburn Edition",2,"Defective product"
336,"Watch Flash",1,"Defective product"
94,"Rugby Plus",1,"Inaccurate step counter"
348,"TRebel Matrix",3,"Wrong item shipped"
184,"TRebel Matrix",5,"Inaccurate step counter"
317,"Type C C400",2,"Bluetooth not working"
304,"Rockerz 450 DC edition",2,"Bluetooth not working"
108,"Aavante Bar 1500",1,"Screen issues"
59,"Rockerz 335",1,"Screen issues"
360,"TRebel Rockerz 333",1,"Damaged in transit"
340,"Wave Pro",1,"Inaccurate step counter"
252,"Rockerz 255R",1,"Wrong item shipped"
378,"TRebel Airdopes 441 Pro",2,"Battery issue"
156,"Micro USB 500 Cable 1.5 Meter",1,"Defective product"
65,"Rockerz 385 V2",1,"Poor quality"
149,"Deuce 330",1,"Wrong item shipped"
14,"TRebel BassHeads 103",1,"Defective product"
367,"TRebel Airdopes 141",1,"Wrong item shipped"
33,"Airdopes 413 ANC",1,"Inaccurate step counter"
369,"TRebel Airdopes 171 - Wireless Earbuds with 6mm Drivers, 380mAh Charging cum Carrying Case, IPX4 Sweat and Water Resistance, 13H nonstop Music",2,"Bluetooth not working"
356,"TRebel Watch Straps",3,"Defective product"
80,"Nirvanaa 751 ANC",1,"Poor quality"
66,"Rockerz 235 Pro",1,"Bluetooth not working"
81,"Rockerz 450R",1,"Battery issue"
161,"Micro USB 100 1 Meter",1,"Poor quality"
335,"Wave Lite",1,"Poor quality"
98,"Stone 190",2,"Poor quality"
245,"Rockerz 245 V2",1,"Damaged in transit"
332,"Wave Connect",1,"Inaccurate step counter"
260,"Rockerz 333 ANC",1,"Inaccurate step counter"
10,"TRebel BassHeads 100",2,"Bluetooth not working"
273,"Rockerz 518",1,"Poor quality"
344,"Storm Pro",1,"Damaged in transit"
133,"Airdopes 441 - Masaba Edition",1,"Wrong item shipped"
172,"Watch Flash",1,"Battery issue"
32,"Airdopes 381",1,"Battery issue"
225,"Airdopes 411 ANC",5,"Inaccurate step counter"
234,"Airdopes 381",1,"Poor quality"
45,"Airdopes 131 Iron Man Marvel Edition",1,"Poor quality"
57,"Rockerz 333 Pro",1,"Damaged in transit"
41,"Airdopes 601 ANC",1,"Defective product"
175,"Xplorer?? O2",1,"Poor quality"
70,"Rockerz 400",1,"Wrong item shipped"
109,"Aavante Bar 2000",2,"Battery issue"
125,"Stone SpinX 2.0 Bira Edition",1,"Bluetooth not working"
172,"Watch Flash",2,"Damaged in transit"
255,"Rockerz 335",1,"Bluetooth not working"
61,"Rockerz 370",3,"Battery issue"
50,"Rockerz 333",1,"Poor quality"
56,"Rockerz 255R",1,"Screen issues"
95,"Stone 500",1,"Poor quality"
211,"BassHeads 242",1,"Screen issues"
201,"TRebel Airdopes 171 - Wireless Earbuds with 6mm Drivers, 380mAh Charging cum Carrying Case, IPX4 Sweat and Water Resistance, 13H nonstop Music",1,"Screen issues"
19,"Airdopes 131",1,"Poor quality"
266,"Rockerz 400",1,"Poor quality"
306,"Misfit T50 Trimmer",1,"Defective product"
61,"Rockerz 370",1,"Damaged in transit"
132,"Rockerz 600 KKR Edition",1,"Wrong item shipped"
270,"Rockerz 330 ANC",1,"Defective product"
219,"BassHeads 104",1,"Inaccurate step counter"
133,"Airdopes 441 - Masaba Edition",1,"Battery issue"
223,"BassHeads 110",2,"Poor quality"
22,"Airdopes 121 PRO",1,"Battery issue"
212,"TRebel BassHeads 242",3,"Inaccurate step counter"
103,"Stone 180",1,"Bluetooth not working"
41,"Airdopes 601 ANC",1,"Inaccurate step counter"
266,"Rockerz 400",3,"Inaccurate step counter"
330,"Wave Beat",1,"Inaccurate step counter"
282,"Airdopes 131 Iron Man Marvel Edition",1,"Bluetooth not working"
