order_id,no_of_days
1,6
2,6
3,8
4,2
5,8
6,2
7,10
8,5
9,3
10,6
11,3
12,3
13,7
14,3
15,7
16,4
17,5
18,4
19,4
20,5
21,3
22,10
23,5
24,2
25,8
26,2
27,7
28,3
29,5
30,6
31,3
32,6
33,6
34,8
35,3
36,9
37,8
38,6
39,13
40,6
41,11
42,7
43,12
44,6
45,7
46,7
47,6
48,12
49,6
50,2
51,7
52,3
53,5
54,4
55,5
56,4
57,4
58,7
59,4
60,6
61,6
62,9
63,4
64,3
65,7
66,9
67,2
68,5
69,4
70,4
71,8
72,7
73,7
74,4
75,12
76,5
77,5
78,3
79,8
80,10
81,3
82,7
83,4
84,5
85,4
86,8
87,4
88,3
89,4
90,5
91,5
92,3
93,4
94,9
95,7
96,10
97,8
98,4
99,5
100,7
101,15
102,4
103,10
104,2
105,2
106,6
107,2
108,4
109,6
110,7
111,8
112,3
113,11
114,12
115,4
116,7
117,6
118,4
119,6
120,7
121,9
122,6
123,4
124,6
125,2
126,9
127,5
128,4
129,3
130,14
131,4
132,7
133,10
134,2
135,4
136,3
137,2
138,3
139,4
140,15
141,6
142,8
143,3
144,5
145,9
146,10
147,4
148,6
149,11
150,5
151,6
152,6
153,2
154,10
155,6
156,9
157,7
158,5
159,2
160,8
161,5
162,5
163,2
164,11
165,6
166,5
167,5
168,4
169,4
170,11
171,5
172,4
173,7
174,8
175,8
176,6
177,7
178,4
179,5
180,3
181,9
182,7
183,6
184,6
185,3
186,11
187,9
188,4
189,7
190,2
191,7
192,2
193,7
194,7
195,16
196,4
197,5
198,10
199,3
200,6
201,6
202,7
203,7
204,7
205,5
206,5
207,5
208,7
209,3
210,3
211,5
212,4
213,10
214,7
215,7
216,7
217,5
218,5
219,6
220,7
221,3
222,6
223,6
224,14
225,4
226,5
227,6
228,5
229,6
230,6
231,7
232,8
233,4
234,8
235,5
236,6
237,7
238,6
239,8
240,5
241,4
242,5
243,8
244,5
245,10
246,6
247,8
248,4
249,12
250,3
251,7
252,8
253,5
254,7
255,6
256,3
257,3
258,6
259,10
260,3
261,3
262,4
263,2
264,8
265,10
266,5
267,4
268,5
269,4
270,4
271,4
272,6
273,8
274,4
275,4
276,9
277,4
278,4
279,8
280,7
281,6
282,2
283,6
284,4
285,10
286,4
287,4
288,11
289,3
290,13
291,5
292,10
293,5
294,5
295,3
296,3
297,5
298,2
299,6
300,11
301,5
302,3
303,6
304,5
305,10
306,6
307,6
308,8
309,4
310,4
311,9
312,10
313,5
314,2
315,4
316,7
317,8
318,7
319,4
320,4
321,9
322,6
323,8
324,10
325,15
326,9
327,2
328,5
329,4
330,2
331,6
332,6
333,8
334,5
335,5
336,10
337,3
338,2
339,6
340,4
341,3
342,6
343,4
344,10
345,7
346,5
347,6
348,7
349,4
350,5
351,4
352,5
353,7
354,4
355,8
356,9
357,4
358,5
359,4
360,3
361,5
362,11
363,4
364,5
365,12
366,2
367,3
368,15
369,6
370,6
371,5
372,2
373,16
374,8
375,5
376,6
377,7
378,4
379,8
380,4
381,4
382,5
383,3
384,6
385,19
386,10
387,3
388,3
389,4
390,4
391,6
392,11
393,2
394,7
395,9
396,4
397,4
398,3
399,5
400,17
401,4
402,7
403,5
404,3
405,4
406,8
407,3
408,4
409,6
410,4
411,3
412,4
413,11
414,3
415,13
416,5
417,3
418,6
419,7
420,3
421,6
422,7
423,6
424,4
425,7
426,5
427,4
428,5
429,4
430,9
431,8
432,5
433,7
434,11
435,6
436,5
437,9
438,5
439,2
440,7
441,6
442,5
443,6
444,5
445,2
446,3
447,7
448,2
449,3
450,2
451,5
452,7
453,5
454,6
455,4
456,2
457,9
458,6
459,8
460,7
461,3
462,7
463,4
464,4
465,4
466,5
467,8
468,7
469,4
470,2
471,4
472,2
473,2
474,4
475,6
476,8
477,3
478,3
479,8
480,8
481,7
482,3
483,7
484,6
485,5
486,4
487,5
488,3
489,3
490,6
491,3
492,8
493,4
494,5
495,4
496,5
497,7
498,9
499,17
500,6
501,2
502,11
503,4
504,6
505,5
506,3
507,2
508,3
509,4
510,6
511,7
512,7
513,4
514,6
515,8
516,3
517,5
518,6
519,8
520,5
521,5
522,9
523,11
