monthname_1,total_revenue
January,253932.87
January,220036.21
January,181317.17
January,254097.29
January,259251.5
January,190865.68
January,136530.54
January,170546.99
January,274123.34
January,137439.65
January,296288.53
January,150915.1
January,213374.61
January,148901.46
January,194622.61
January,291150.84
January,159801.59
January,170644.04
January,337157.65
January,215596.13
January,187955.77
January,204364.53
January,243217.22
January,203441.06
January,177674.1
January,211343
January,187254.66
January,282403.94
January,208188.53
January,214775.36
January,253349.95
January,181204.92
January,244373.62
January,237739.67
January,315822.79
January,151995.6
January,251312.56
January,227726.6
January,179106.42
January,319557.7
January,213195.38
January,235422.66
January,252260.86
January,220592.87
January,232010.3
January,169673.8
January,122024.95
January,226218.91
January,317380.62
January,234350.77
January,176500.88
January,202163.32
January,263120.43
January,286543.74
January,109934.74
January,193596.66
January,243717.63
January,138255.59
January,247449.68
January,134364.89
January,321515.96
January,179392.22
February,265185.53
February,269883.68
February,182856.43
February,334985.77
February,211578.34
February,190760.02
February,160822.5
February,205490.22
February,230358.88
February,307322.98
February,235267.98
February,189359.86
February,189350.11
February,150249.09
February,190241.27
February,169815.26
February,197465.56
February,247050.4
February,288384.4
February,318158.72
February,207501.83
February,208204.64
February,237221.37
February,281074.75
February,245000.42
February,120578.14
February,191205.9
February,258506.4
February,251231.97
February,143229.22
February,242041.69
February,287540.48
February,251454.94
February,158663.86
February,205508.2
February,167216.22
February,193583.68
February,167179.79
February,226661.74
February,256267.81
February,255801.54
February,214982.69
February,249461.7
February,197611.16
February,163080.75
February,189101.18
February,201641.36
February,200152.22
February,297237.16
February,254716.82
February,173630.04
February,126527.98
February,149869.34
February,228924.12
February,198891.92
February,305206.92
February,130929.11
March,205088.05
March,183107.26
March,205867.54
March,306099.02
March,299986.75
March,263815.8
March,336689.73
March,270292.62
March,168968.28
March,256574.62
March,226094.91
March,180378.87
March,267067.95
March,200305.14
March,203489.8
March,318112.52
March,141359.26
March,200116.65
March,191628.34
March,300630.17
March,373482.66
March,193860.95
March,151237.66
March,231651.54
March,110862.57
March,255780.58
March,181191.84
March,201576.73
March,239194.22
March,318356.53
March,167856.69
March,174750.81
March,205378.88
March,254135.66
March,191419.1
March,226377.26
March,255000.71
March,200772.62
March,255885.15
March,165776.79
March,206409.89
March,196727.41
March,265249.69
March,250508.24
March,278821.23
March,203134.27
March,215552.77
March,212277.98
March,236359.86
March,246135.38
March,280851.94
March,252108.89
March,206817.87
March,203864.66
March,99303.11
March,245806.84
March,269078.63
March,114439.77
March,272330.03
March,246186.54
March,185600.64
March,264611.82
April,254748.16
April,251936.19
April,194167.75
April,267592.14
April,178391.07
April,196412.59
April,228950.36
April,230338.33
April,181502.95
April,134771.3
April,217039.97
April,164130.35
April,262756.12
April,270655.18
April,293718.38
April,314689.58
April,211858.43
April,129011.16
April,191458.64
April,261564.41
April,174805.36
April,181943.8
April,262410.77
April,189806.2
April,276528.9
April,219704.13
April,197644.04
April,285210.88
April,183373.55
April,279973.45
April,169268.27
April,219386.42
April,306206.49
April,242483.02
April,277025.7
April,240007.71
April,224534.11
April,286795.72
April,262304.96
April,203277.57
April,359848.02
April,277833.56
April,178394.16
April,238491.37
April,181214.72
April,272958.27
April,237513.28
April,322105.81
April,178142.53
April,188059.51
April,250528.76
April,177036.93
April,220957.46
April,259199.89
April,274280.78
April,160883.01
April,168474.56
April,181821.23
April,195840.07
April,201046.62
May,314698.81
May,235931.11
May,180273.33
May,180663.36
May,192841.49
May,226437.65
May,155106.8
May,193774.84
May,319129.46
May,305650.9
May,254577.07
May,124822.78
May,267199.34
May,358097.86
May,251260.96
May,253615.85
May,238432.5
May,186495.13
May,158579.17
May,166244.45
May,390008.61
May,207845.84
May,162032.17
May,232224.21
May,209361.48
May,221864.54
May,252253.66
May,178911.71
May,240393.8
May,231806.16
May,294394.32
May,207651.39
May,173804.82
May,253717.53
May,270714.49
May,235097.06
May,265931.73
May,204763.14
May,244247.83
May,186161.22
May,189894
May,124798.94
May,184100.75
May,246030.09
May,103640.6
May,173629.13
May,170855.66
May,392814.69
May,162477.41
May,237871.78
May,151595.5
May,319550.22
May,182563.16
May,142066.18
May,142281.03
May,167191.13
May,148254.89
May,269841.04
May,176327.29
May,224038.6
May,240490.57
May,224022.88
June,166855.93
June,271373.98
June,194651.33
June,141326.23
June,247977.08
June,184464.23
June,324841.19
June,214166.3
June,218305.83
June,211880.9
June,288994.03
June,158017.98
June,217370.06
June,177019.72
June,217093.86
June,235420.29
June,161200.94
June,270792.22
June,190392.75
June,222319.38
June,224892.39
June,255902.42
June,196343.6
June,179670.23
June,160878.73
June,207447.07
June,213795.86
June,320322.57
June,292967.89
June,142330.39
June,259951.03
June,210251.7
June,196865.59
June,194276.21
June,275122.37
June,225001.37
June,299865.91
June,147519.75
June,180942.62
June,248475.42
June,157319.04
June,201052.72
June,273446.38
June,200630.1
June,286775.21
June,154529.95
June,232763.15
June,261730.55
June,176887.86
June,219779.01
June,190063.71
June,237288.06
June,157059.25
June,229982.38
June,163712.7
June,116518.86
June,165984.51
June,217589.14
June,213878.51
June,238328.43
July,220300.06
July,257135.48
July,197465.76
July,138967.03
July,212758.11
July,140121.11
July,224749.51
July,167519.4
July,247681.38
July,232241.49
July,188215.22
July,191975.05
July,236606.69
July,199499.69
July,182748.54
July,267977.74
July,186959.79
July,190371.17
July,278588.81
July,163401.03
July,132773.46
July,258048.54
July,225900.58
July,180910.44
July,149372.38
July,225563.07
July,189508.23
July,168215.47
July,244297.16
July,194690.28
July,123650.21
July,165203.55
July,166211.95
July,220446.74
July,144727.93
July,283768.58
July,278846.38
July,151023.24
July,255109.65
July,307285.45
July,247923.65
July,276533.06
July,225442.9
July,274703.38
July,225021.54
July,146325.99
July,203367.91
July,197639.92
July,231144.11
July,353993.08
July,360418.36
July,160561.69
July,204674.37
July,137192.03
July,220931.47
July,255972.31
July,150201.53
July,199348.88
July,203992.15
July,276546.83
July,288997.97
July,157543.73
August,212383.2
August,255591.98
August,250691.35
August,362938.1
August,209539.79
August,148498.62
August,182685.46
August,143577.77
August,241894.17
August,156961.55
August,291689.19
August,156814.55
August,109896.95
August,223325.85
August,147244.05
August,186196.4
August,238368.45
August,150491.48
August,191007.79
August,219373.32
August,249687.85
August,244121.9
August,178238.6
August,204113.18
August,210867.38
August,326383.72
August,271383.58
August,198948.62
August,217972.09
August,191833.93
August,159862.86
August,217219.69
August,306141.66
August,247511.64
August,157944.28
August,294689.36
August,260836.31
August,190146.97
August,243642.32
August,222011.26
August,105238.99
August,273185.43
August,138406.83
August,309629.41
August,124407.81
August,376268.07
August,210432.33
August,182058.21
August,178755.44
August,248940.49
August,317037.81
August,260587.53
August,209033.05
August,209115.44
August,324295.27
August,259968.75
August,158860.67
August,297521.08
August,157147.18
August,152509.25
August,185915.6
August,248319.92
September,290561.87
September,287159.47
September,176591.66
September,217298.58
September,157840.07
September,325509.67
September,230047.99
September,194335.7
September,225735.52
September,220795.12
September,252862.95
September,216213.2
September,219583.37
September,213798.26
September,198710.42
September,255489.39
September,158960.86
September,244500.82
September,290007.64
September,186018.5
September,246122.05
September,271643.17
September,276323.88
September,254791.24
September,212755.48
September,307648.77
September,192196.65
September,196432.35
September,160376.52
September,206596.84
September,139313.49
September,221933.4
September,145442.23
September,221892.32
September,229748.19
September,244497.55
September,236323.45
September,152835.46
September,186266.31
October,215253.59
October,143764.99
October,157587.87
October,262236.1
October,348853.13
October,184409.54
October,168670.26
October,247238.26
October,222851.35
October,247631.34
October,245689.87
October,271166.17
October,269443.47
October,184685.68
October,218694.98
October,236250.82
October,176111.11
October,330053.34
October,265469.41
October,260623.59
October,142940.26
October,272231.79
October,324187.33
October,187194.38
October,160576.57
October,150392.38
October,200387.49
October,173200.29
October,218285.86
October,143387.98
October,149238.47
November,309252.38
November,203149.03
November,200633.23
November,131006.71
November,209942.12
November,235854.62
November,227062.74
November,201511.61
November,339865.89
November,244771.01
November,233695.91
November,184836.06
November,292633.08
November,271614.04
November,257519.44
November,209317.09
November,146853.64
November,240359.94
November,256711.01
November,157639.2
November,198963.24
November,241758.5
November,140560.21
November,178151.81
November,198140.98
November,145419.95
November,166262.33
November,141553.29
November,138813.48
November,250308.03
December,210581.05
December,168005.57
December,240473.31
December,195308.32
December,222434.62
December,209706.2
December,243764.21
December,171258.03
December,251891.34
December,166520.81
December,259805.03
December,282235.2
December,296468.85
December,196370.34
December,211111.93
December,171835.94
December,158482.26
December,202012.62
December,163817.38
December,128915.13
December,301546.81
December,249724.19
December,246387.79
December,230514.61
December,246088.75
December,158766.29
December,142113.67
December,217679.65
December,215647.8
December,165960.77
December,180621.67
